siruta,populatie
155261,7241
57350,3914
57546,1465
57582,3835
30069,2681
57644,2447
57706,21832
28497,2391
57742,4099
57831,1575
57902,7973
179846,2496
57948,2398
152617,2709
58008,3690
179855,1124
58142,4075
58259,4152
107001,2689
152662,1390
58552,3636
146995,3044
58918,1455
58623,3167
58856,1746
44505,5589
29341,2541
58721,3246
58794,1156
59693,4127
58990,677
135164,5557
59130,1351
1151,4944
59327,4309
59416,2405
31510,3200
59498,1348
59586,2275
59657,1700
59764,2208
108794,2263
29573,3235
60026,864
60062,5226
53700,1588
116395,1513
59826,1909
59880,2746
59942,1944
107047,1072
60099,1486
119858,969
106407,5969
106817,11324
107733,5569
107868,2173
107920,3523
108035,4290
77082,1850
108106,4020
108222,3641
31565,2645
108268,4702
79585,2491
108491,2788
108712,5689
109041,3839
155528,11540
109176,7455
109354,1983
109425,1423
160305,2003
114710,14775
115236,1550
115771,782
115824,2002
116046,2621
119974,3063
137504,2513
138618,2126
141027,1315
5336,2996
141447,2721
143147,1070
145220,1903
144991,2007
145738,1525
179953,1282
179659,2402
179695,1064
179837,1378
2309,1303
1455,6942
3459,1420
1936,7182
2130,2043
8229,1322
2381,1743
148293,3791
2577,1613
8425,1637
3039,4417
4008,1181
6761,2609
4525,1694
4767,2125
6271,1147
7446,1703
7197,1634
11058,2801
11174,1284
26699,9619
11762,1215
12689,2679
28193,1893
26920,2148
27070,2763
27007,2291
27212,3003
27329,3234
78668,1321
27506,1318
27560,3774
29243,2889
27686,5088
27935,2055
12224,2321
158109,4346
102286,7552
112030,3028
73905,3232
74891,1517
70986,1515
32179,2058
29813,3146
32187,3073
75150,4760
61167,1289
29902,3480
32195,1755
68324,4273
68342,5090
12288,884
12509,5681
31921,2002
128178,3047
138538,1610
151709,1510
153151,3146
155546,1538
12340,3768
42456,2379
12368,7613
70316,16283
70352,16247
155662,392
154497,3015
71858,5184
71787,5176
179748,2536
72604,635
72383,4172
12643,5828
72819,1641
133330,6657
179935,2702
154460,2244
155083,1580
17398,2521
155724,1500
135547,3247
155911,3101
156213,4140
156259,4042
12778,4140
12812,2505
101190,11829
93370,6349
130302,2027
12849,1303
159428,2036
44328,3762
158528,4500
39959,1392
40035,1361
154754,2814
154834,4167
42824,3016
12876,4476
12920,2484
155289,5968
158564,6731
26564,183123
154914,1880
155145,2228
